Class,FL_B,FL_A,VS,FL_B_3,FL_A_3,FL_B_12,FL_A_12,Container Type,Recyclable fraction
Non Emptying,66.4,54.5,1.0,64.0,29.5,62.1,55.4,Silvertop-b,Recyclable
Non Emptying,31.4,25.0,4.0,33.5,28.1,68.0,51.2,Accordion,Non Recyclable
Emptying,73.0,39.6,8.0,52.3,35.6,81.8,50.3,Lindstrom-a,Mixed
Non Emptying,71.4,63.4,2.0,88.8,48.1,88.5,57.4,Diamond,Recyclable
Emptying,61.4,21.2,6.0,38.6,20.4,39.8,26.3,Silvertop-a,Recyclable
Non Emptying,70.2,66.4,1.0,77.7,68.3,62.9,55.7,Malmobehallare,Recyclable
Non Emptying,50.7,38.9,2.0,30.5,20.0,66.6,57.2,BIM-3 FTI bottentomd,Recyclable
Non Emptying,78.2,63.7,2.0,64.0,22.7,68.9,50.2,Fiberglass Igloo-a,Non Recyclable
Emptying,80.7,43.0,7.0,62.8,54.4,80.1,50.0,Malmobehallare,Non Recyclable
Non Emptying,74.3,63.9,2.0,69.2,23.8,70.2,66.5,Malmobehallare,Non Recyclable
Emptying,72.5,34.6,8.0,89.4,43.5,62.8,55.0,Fiberglass Igloo-b,Non Recyclable
Emptying,63.6,37.3,8.0,77.8,64.6,99.7,54.6,Lindstrom-b,Recyclable
Non Emptying,63.8,51.0,1.0,80.1,40.6,53.7,35.9,Silvertop-a,Recyclable
Emptying,78.8,46.1,6.0,92.7,60.2,55.9,33.1,Fiberglass Igloo-a,Mixed
Emptying,65.1,25.4,6.0,81.9,55.2,62.9,56.0,Silvertop-b,Mixed
Emptying,62.8,30.4,9.0,71.7,68.2,52.4,33.4,Silvertop-b,Non Recyclable
Emptying,64.8,21.8,6.0,95.8,59.8,88.0,53.5,Fiberglass Igloo-b,Recyclable
Emptying,63.4,28.8,7.0,34.0,22.6,64.3,52.9,Silvertop-a,Non Recyclable
Non Emptying,63.8,53.9,5.0,91.0,63.7,61.7,24.1,Accordion,Mixed
Non Emptying,76.0,60.4,2.0,72.5,65.5,58.7,37.6,Lindstrom-a,Mixed
Emptying,72.7,31.7,9.0,98.6,66.2,37.2,20.8,Accordion,Recyclable
Non Emptying,58.0,31.1,4.0,60.6,25.8,63.9,34.7,Lindstrom City,Mixed
Non Emptying,31.7,20.2,4.0,62.7,52.2,74.0,64.8,Lindstrom City,Mixed
Emptying,97.5,50.2,9.0,78.3,49.9,75.5,61.5,Silvertop-b,Non Recyclable
Emptying,68.3,20.8,7.0,70.1,41.8,66.3,56.0,Accordion,Non Recyclable
Emptying,93.9,62.4,7.0,70.9,48.9,96.3,54.8,Rectangular,Mixed
Emptying,98.4,69.2,9.0,53.2,34.7,69.4,27.9,Rectangular,Non Recyclable
Non Emptying,33.2,23.4,3.0,82.8,40.2,65.1,54.5,BIM-3 FTI bottentomd,Recyclable
Emptying,70.3,46.9,9.0,36.1,20.8,68.8,53.5,Malmobehallare,Non Recyclable
Emptying,72.1,31.9,9.0,69.2,57.4,33.7,23.6,Malmobehallare,Non Recyclable
Non Emptying,72.4,65.1,2.0,72.5,39.1,51.5,34.5,Lindstrom-a,Recyclable
Emptying,86.0,41.4,6.0,75.0,33.3,52.3,35.2,Lindstrom City,Non Recyclable
Emptying,71.5,34.6,8.0,74.2,39.8,76.5,65.3,Silvertop-b,Recyclable
Non Emptying,52.2,34.9,3.0,86.2,41.2,68.4,55.5,Diamond,Recyclable
Emptying,65.8,31.0,9.0,98.9,59.0,73.0,44.1,Accordion,Recyclable
Non Emptying,76.4,62.6,4.0,68.7,34.1,60.5,50.5,BIM-3 FTI bottentomd,Recyclable
Non Emptying,30.9,25.5,2.0,60.1,58.2,65.8,37.3,Silvertop-b,Non Recyclable
Non Emptying,51.2,38.2,4.0,61.3,22.8,66.7,52.9,Fiberglass Igloo-b,Non Recyclable
Emptying,99.5,60.1,8.0,68.4,53.8,71.1,61.3,Malmobehallare,Mixed
Non Emptying,72.9,60.2,5.0,76.6,32.4,80.1,41.8,BIM-3 FTI bottentomd,Non Recyclable
Non Emptying,63.7,56.2,2.0,82.2,41.7,51.0,32.7,Lindstrom-a,Recyclable
Non Emptying,34.7,22.1,2.0,60.7,20.3,82.7,55.5,Lindstrom-b,Recyclable
Non Emptying,61.1,58.5,4.0,66.3,29.7,87.1,59.6,Silvertop-a,Non Recyclable
Emptying,80.4,47.7,9.0,70.2,46.2,98.6,56.3,Diamond,Non Recyclable
Emptying,86.8,51.6,6.0,71.9,62.4,60.7,55.8,Malmobehallare,Recyclable
Non Emptying,38.2,26.8,1.0,90.8,60.4,90.1,50.4,Malmobehallare,Recyclable
Non Emptying,71.8,66.2,1.0,75.6,61.9,73.9,63.8,Accordion,Recyclable
Non Emptying,76.7,65.0,2.0,91.0,64.3,56.7,31.3,Malmobehallare,Non Recyclable
Non Emptying,31.6,24.5,5.0,33.3,22.1,53.6,32.4,Rectangular Farmland,Recyclable
Non Emptying,51.5,38.5,1.0,96.1,51.2,83.9,56.5,BIM-3 FTI bottentomd,Recyclable
Emptying,94.0,50.1,8.0,63.9,53.3,68.1,39.6,Silvertop-a,Recyclable
Emptying,91.0,53.3,6.0,60.9,54.2,97.1,56.9,Lindstrom City,Mixed
Emptying,74.2,50.0,8.0,92.8,55.5,77.2,35.2,Lindstrom-a,Recyclable
Non Emptying,39.8,28.1,1.0,94.3,54.7,81.0,58.4,Cubic,Non Recyclable
Emptying,93.7,67.8,7.0,68.7,58.6,94.4,64.1,Cubic,Non Recyclable
Non Emptying,52.6,33.8,5.0,68.7,55.4,64.1,30.4,Malmobehallare,Non Recyclable
Non Emptying,54.0,36.9,2.0,58.8,37.9,70.9,68.3,Malmobehallare,Non Recyclable
Non Emptying,54.2,31.7,1.0,33.6,26.7,60.8,30.6,Silvertop-b,Mixed
Non Emptying,61.6,52.3,4.0,91.2,54.7,73.7,48.5,Rectangular,Non Recyclable
Emptying,74.7,30.6,6.0,75.4,63.2,64.7,31.0,Silvertop-a,Recyclable
Non Emptying,32.6,24.3,3.0,58.3,39.0,54.1,31.3,BIM-3 FTI bottentomd,Mixed
Emptying,64.2,29.1,6.0,73.1,35.2,76.5,31.6,Rectangular,Non Recyclable
Emptying,90.4,68.8,8.0,64.8,51.6,81.0,51.7,Rectangular,Mixed
Non Emptying,77.0,60.0,5.0,80.0,45.8,87.8,53.9,Cubic,Non Recyclable
Non Emptying,52.8,35.6,1.0,71.3,38.5,80.3,42.0,Silvertop-b,Non Recyclable
Emptying,74.0,33.5,6.0,63.3,56.1,61.9,37.1,Cubic,Mixed
Emptying,91.1,65.3,7.0,90.4,56.3,38.0,24.3,Fiberglass Igloo-b,Recyclable
Emptying,85.9,43.6,9.0,39.1,23.2,79.7,42.1,Cubic,Mixed
Non Emptying,67.2,57.9,5.0,82.7,48.3,98.6,52.3,Malmobehallare,Non Recyclable
Non Emptying,37.3,20.1,5.0,94.5,61.6,63.4,22.6,Fiberglass Igloo-b,Recyclable
Non Emptying,71.2,66.2,3.0,63.4,55.2,83.6,40.3,BIM-3 FTI bottentomd,Non Recyclable
Non Emptying,79.7,69.0,3.0,51.9,30.4,81.8,55.0,Lindstrom-a,Recyclable
Emptying,81.4,52.7,6.0,62.1,39.3,60.7,58.3,Malmobehallare,Recyclable
Emptying,62.3,20.6,6.0,61.9,57.9,79.7,30.0,Lindstrom-a,Non Recyclable
Non Emptying,35.2,23.5,4.0,71.2,47.2,57.5,32.7,Lindstrom-b,Non Recyclable
Non Emptying,60.5,55.5,4.0,77.9,65.0,72.8,39.7,Silvertop-b,Non Recyclable
Emptying,72.0,43.9,6.0,60.9,50.0,81.2,41.2,Diamond,Non Recyclable
Non Emptying,76.6,61.5,4.0,58.4,31.0,62.8,34.5,Malmobehallare,Mixed
Emptying,68.5,24.2,7.0,89.6,54.0,59.0,37.2,Rectangular,Mixed
Emptying,84.3,47.6,9.0,76.4,64.8,69.5,21.6,Fiberglass Igloo-b,Mixed
Emptying,74.7,44.4,6.0,72.9,42.1,68.5,54.8,Rectangular Farmland,Mixed
Non Emptying,50.6,30.6,4.0,77.7,38.9,98.9,50.1,Silvertop-b,Mixed
Non Emptying,53.0,34.3,4.0,70.6,34.6,74.2,61.9,Lindstrom City,Mixed
Emptying,90.9,68.3,9.0,69.6,53.6,71.3,44.3,Diamond,Mixed
Non Emptying,79.3,66.8,5.0,63.9,20.7,33.3,25.2,Lindstrom City,Mixed
Non Emptying,31.5,23.6,4.0,84.3,40.4,90.4,62.6,Lindstrom-b,Mixed
Emptying,97.6,54.5,8.0,73.8,60.3,71.1,49.6,Fiberglass Igloo-a,Recyclable
Non Emptying,75.5,68.9,5.0,51.0,35.3,33.8,23.5,Lindstrom-a,Non Recyclable
Non Emptying,71.2,60.2,1.0,72.6,40.5,70.4,40.2,Cubic,Mixed
Emptying,78.9,32.8,6.0,52.7,34.6,68.7,39.8,Silvertop-a,Non Recyclable
Non Emptying,35.2,20.5,2.0,86.1,53.9,72.0,34.8,Cubic,Non Recyclable
Non Emptying,57.5,30.0,4.0,81.7,47.4,82.5,41.6,Cubic,Recyclable
Non Emptying,58.4,31.2,4.0,75.2,30.9,76.1,62.2,Lindstrom-b,Recyclable
Emptying,78.9,40.0,9.0,60.1,58.7,38.3,23.9,Fiberglass Igloo-b,Non Recyclable
Non Emptying,55.6,31.1,3.0,31.9,28.6,84.5,48.2,Lindstrom-b,Non Recyclable
Non Emptying,66.3,55.2,4.0,62.2,54.9,72.9,64.7,Silvertop-b,Mixed
Non Emptying,62.3,55.9,3.0,67.6,53.5,55.1,36.8,Rectangular Farmland,Mixed
Emptying,78.2,48.2,6.0,73.3,38.1,78.8,36.4,BIM-3 FTI bottentomd,Recyclable
Non Emptying,73.2,61.7,4.0,75.7,33.2,93.0,67.0,Fiberglass Igloo-a,Non Recyclable
Non Emptying,30.9,23.8,5.0,70.9,66.7,72.6,60.4,Rectangular Farmland,Non Recyclable
Emptying,62.6,28.4,6.0,57.1,33.5,92.4,66.9,Accordion,Recyclable
Emptying,90.1,65.9,7.0,39.6,25.0,64.3,51.7,Rectangular,Recyclable
Non Emptying,62.7,51.1,5.0,72.0,63.9,66.1,36.9,Rectangular Farmland,Mixed
Non Emptying,53.4,37.9,1.0,91.9,68.3,75.7,63.5,Diamond,Recyclable
Emptying,100.0,65.4,6.0,30.6,26.8,76.8,66.6,Rectangular Farmland,Non Recyclable
Non Emptying,56.0,35.3,4.0,55.1,31.1,31.3,21.4,Malmobehallare,Recyclable
Emptying,60.6,23.1,7.0,81.8,43.8,60.5,50.4,Lindstrom-a,Recyclable
Emptying,94.7,55.8,9.0,60.3,26.7,31.6,25.6,Lindstrom-b,Mixed
Non Emptying,54.2,33.6,5.0,77.6,68.8,65.8,23.4,Rectangular Farmland,Mixed
Non Emptying,75.3,62.0,3.0,96.8,59.1,74.9,64.5,Accordion,Mixed
Non Emptying,70.6,62.1,1.0,60.0,34.5,69.0,30.2,Lindstrom-b,Non Recyclable
Non Emptying,61.7,58.8,1.0,65.6,33.8,74.1,65.1,Cubic,Non Recyclable
Non Emptying,61.3,54.1,3.0,85.6,41.0,84.9,40.8,Accordion,Non Recyclable
Emptying,62.1,20.4,9.0,61.1,31.2,70.8,60.4,Accordion,Mixed
Emptying,77.3,32.9,7.0,67.0,54.6,52.1,31.9,Silvertop-b,Non Recyclable
Non Emptying,64.7,54.7,3.0,60.6,23.4,34.2,26.1,Silvertop-b,Recyclable
Emptying,61.3,35.8,9.0,65.9,55.4,58.4,33.8,Lindstrom City,Non Recyclable
Emptying,68.8,35.1,7.0,76.1,33.5,58.6,32.7,Lindstrom City,Non Recyclable
Non Emptying,38.8,24.8,2.0,73.6,67.9,50.4,35.1,Silvertop-b,Non Recyclable
Emptying,83.4,44.5,6.0,74.8,68.7,50.8,34.1,Accordion,Mixed
Non Emptying,59.8,36.5,3.0,71.4,47.1,60.2,22.5,Silvertop-b,Mixed
Non Emptying,31.2,23.8,1.0,67.5,56.6,70.0,35.3,Rectangular,Mixed
Emptying,91.3,60.9,7.0,81.5,51.0,80.7,44.8,Rectangular,Recyclable
Emptying,75.0,40.9,6.0,90.3,53.6,68.8,37.4,Cubic,Recyclable
Emptying,93.7,54.5,9.0,69.1,56.6,67.7,50.5,Silvertop-b,Mixed
Non Emptying,51.0,31.8,1.0,77.0,62.5,39.1,24.9,Lindstrom-a,Mixed
Emptying,97.3,57.8,7.0,92.6,61.8,62.8,36.3,Lindstrom City,Recyclable
Non Emptying,51.2,37.5,3.0,82.7,42.6,51.7,37.3,Diamond,Non Recyclable
Emptying,61.9,21.1,8.0,75.9,44.9,68.9,21.3,Lindstrom-b,Non Recyclable
Emptying,91.5,54.4,7.0,89.5,58.3,61.4,50.2,Cubic,Mixed
Emptying,92.5,67.1,6.0,93.3,62.5,91.9,68.9,Accordion,Recyclable
Non Emptying,39.4,25.2,5.0,51.3,33.8,32.3,23.7,Cubic,Recyclable
Non Emptying,32.8,21.1,2.0,73.1,47.8,71.4,65.2,Silvertop-a,Mixed
Emptying,93.4,53.2,7.0,92.4,60.9,99.9,54.8,Malmobehallare,Recyclable
Non Emptying,51.8,37.7,4.0,76.2,64.5,68.2,57.6,Lindstrom-a,Non Recyclable
Non Emptying,77.5,66.6,4.0,81.0,48.4,86.1,48.5,Silvertop-b,Recyclable
Emptying,66.1,29.9,7.0,83.0,50.7,78.4,64.1,Silvertop-a,Non Recyclable
Non Emptying,62.6,55.1,5.0,75.3,31.4,60.2,32.7,BIM-3 FTI bottentomd,Non Recyclable
Emptying,94.2,51.9,9.0,64.0,57.1,68.2,24.0,Lindstrom-b,Recyclable
Non Emptying,52.9,31.0,2.0,61.4,58.8,77.7,64.0,Rectangular,Recyclable
Emptying,95.0,64.6,8.0,56.8,30.0,30.6,25.3,Cubic,Recyclable
Emptying,61.2,31.5,6.0,92.5,67.3,94.9,68.5,Silvertop-b,Non Recyclable
Non Emptying,36.1,26.5,3.0,36.8,24.5,81.4,56.1,Rectangular Farmland,Recyclable
Emptying,95.5,61.7,9.0,70.4,64.6,85.2,56.6,Cubic,Recyclable
Non Emptying,79.4,65.9,4.0,96.3,52.0,63.8,51.5,Lindstrom-b,Recyclable
Emptying,65.2,39.9,6.0,55.8,31.9,54.4,34.4,Accordion,Mixed
Emptying,90.9,63.7,9.0,57.3,38.8,68.2,27.3,Cubic,Non Recyclable
Non Emptying,35.5,28.8,4.0,61.8,27.2,72.7,61.7,Silvertop-a,Mixed
Emptying,74.4,32.3,6.0,75.6,65.4,83.4,43.1,BIM-3 FTI bottentomd,Non Recyclable
Emptying,84.5,40.1,7.0,71.1,61.9,35.4,24.2,Silvertop-a,Non Recyclable
Non Emptying,51.4,34.5,4.0,91.6,67.9,31.6,22.7,Lindstrom-b,Non Recyclable
Non Emptying,50.9,36.0,1.0,94.0,60.0,74.7,41.5,Rectangular Farmland,Non Recyclable
Emptying,94.5,53.1,6.0,50.7,38.0,50.2,34.8,BIM-3 FTI bottentomd,Mixed
Non Emptying,34.7,24.0,2.0,92.0,66.3,33.4,20.5,Fiberglass Igloo-a,Recyclable
Emptying,98.1,56.4,6.0,77.3,64.9,53.5,37.5,Silvertop-a,Mixed
Non Emptying,52.7,33.5,1.0,33.0,20.7,50.0,31.0,Lindstrom City,Mixed
Non Emptying,53.5,33.8,4.0,68.0,50.6,77.3,40.7,Fiberglass Igloo-a,Non Recyclable
Emptying,70.2,30.1,7.0,93.8,50.6,74.7,45.2,Lindstrom-a,Recyclable
Non Emptying,74.4,68.0,2.0,76.9,38.0,83.4,59.9,Lindstrom-a,Non Recyclable
Non Emptying,57.2,30.7,3.0,81.2,54.9,71.2,64.2,Diamond,Mixed
Emptying,85.4,44.2,6.0,61.6,56.3,87.2,53.6,Accordion,Recyclable
Emptying,92.1,53.9,6.0,98.5,51.6,51.6,37.3,Diamond,Recyclable
Non Emptying,31.7,24.4,2.0,69.6,27.0,54.6,34.3,Lindstrom-b,Recyclable
Emptying,71.7,34.7,8.0,70.0,33.7,34.9,20.9,Fiberglass Igloo-a,Recyclable
Emptying,64.4,30.6,8.0,61.9,26.6,73.5,60.7,Rectangular,Non Recyclable
Non Emptying,56.4,31.3,1.0,32.4,25.1,92.2,61.5,Fiberglass Igloo-a,Mixed
Non Emptying,72.9,66.5,1.0,79.1,40.7,67.4,54.2,Lindstrom-b,Recyclable
Emptying,72.3,31.6,7.0,32.6,27.3,75.8,63.4,BIM-3 FTI bottentomd,Non Recyclable
Emptying,64.3,39.7,7.0,81.1,49.4,64.7,27.4,Fiberglass Igloo-a,Non Recyclable
Non Emptying,73.9,63.0,4.0,92.6,64.5,91.3,62.7,Rectangular Farmland,Mixed
Non Emptying,54.1,34.0,1.0,76.3,36.5,83.2,46.3,Silvertop-a,Non Recyclable
Non Emptying,64.8,50.6,5.0,79.8,66.6,92.1,63.7,Rectangular,Mixed
Non Emptying,62.6,55.3,3.0,86.8,41.2,76.7,43.3,Fiberglass Igloo-a,Recyclable
Emptying,99.0,60.0,8.0,65.2,25.1,77.8,61.2,Diamond,Non Recyclable
Emptying,91.3,56.3,6.0,70.6,65.1,31.8,22.5,Silvertop-a,Recyclable
Non Emptying,60.4,52.5,2.0,64.9,55.1,71.2,49.0,Silvertop-a,Recyclable
Emptying,61.2,36.8,6.0,31.3,24.1,96.8,54.1,Silvertop-a,Mixed
Emptying,88.4,58.0,9.0,32.7,22.3,64.5,20.4,Lindstrom-a,Non Recyclable
Emptying,94.9,56.9,6.0,71.3,42.6,58.0,33.3,Rectangular Farmland,Recyclable
Emptying,83.1,56.4,8.0,52.6,31.2,63.6,55.6,Lindstrom City,Recyclable
Non Emptying,31.2,23.0,2.0,30.7,24.3,34.7,24.0,Fiberglass Igloo-b,Non Recyclable
Emptying,67.6,22.2,9.0,32.9,27.7,71.0,33.0,Silvertop-a,Recyclable
Non Emptying,66.2,50.3,1.0,55.6,31.4,61.9,54.8,Silvertop-b,Mixed
Emptying,74.3,40.7,9.0,60.1,38.0,70.4,38.6,Lindstrom City,Non Recyclable
Emptying,79.4,33.8,6.0,31.8,24.2,60.1,29.9,Fiberglass Igloo-a,Mixed
Non Emptying,77.3,64.1,5.0,61.5,22.3,51.4,39.0,Fiberglass Igloo-a,Non Recyclable
Non Emptying,76.3,63.3,3.0,82.6,57.6,39.3,28.5,Cubic,Recyclable
Non Emptying,30.6,24.8,5.0,31.5,25.9,65.7,26.2,Fiberglass Igloo-a,Mixed
Non Emptying,38.6,21.8,4.0,71.4,66.3,81.1,44.1,Silvertop-a,Non Recyclable
Non Emptying,66.0,53.6,2.0,70.4,46.3,80.5,57.6,Silvertop-b,Mixed
Non Emptying,50.5,36.7,2.0,65.8,39.6,83.6,42.5,Lindstrom-a,Non Recyclable
Emptying,62.5,20.9,6.0,63.5,50.5,86.9,51.3,Fiberglass Igloo-a,Mixed
Emptying,80.5,51.4,7.0,68.3,35.4,70.1,39.5,Accordion,Non Recyclable
Non Emptying,37.8,24.2,5.0,71.4,33.1,93.2,51.6,Lindstrom-a,Non Recyclable
Emptying,93.0,51.5,7.0,87.6,42.8,38.5,25.3,Fiberglass Igloo-b,Recyclable
Non Emptying,73.7,67.7,5.0,96.5,55.9,62.3,24.5,Fiberglass Igloo-b,Recyclable
Non Emptying,63.3,55.7,1.0,99.8,63.1,63.1,54.1,BIM-3 FTI bottentomd,Non Recyclable
Non Emptying,39.7,25.2,1.0,70.2,64.8,88.8,43.3,Accordion,Non Recyclable
Non Emptying,60.4,56.0,4.0,74.1,60.4,58.7,36.5,Fiberglass Igloo-a,Mixed
Emptying,92.4,56.0,6.0,70.8,38.6,97.4,59.8,Silvertop-a,Mixed
Non Emptying,61.5,56.5,5.0,81.4,56.8,90.5,69.1,Fiberglass Igloo-a,Non Recyclable
Emptying,94.9,52.7,6.0,78.6,65.3,77.8,64.3,BIM-3 FTI bottentomd,Non Recyclable
Emptying,62.4,27.4,6.0,32.2,21.2,70.0,34.5,BIM-3 FTI bottentomd,Non Recyclable
Non Emptying,69.0,53.1,2.0,63.0,33.7,84.6,42.2,Fiberglass Igloo-b,Mixed
Non Emptying,79.9,66.4,1.0,60.7,31.3,81.2,42.0,Diamond,Recyclable
Non Emptying,53.6,32.3,5.0,83.1,54.7,88.2,49.4,Malmobehallare,Mixed
Non Emptying,52.4,34.7,3.0,69.9,28.0,93.1,56.8,Silvertop-b,Non Recyclable
Emptying,60.3,24.8,6.0,91.9,55.6,64.8,35.8,Silvertop-b,Recyclable
Non Emptying,74.2,62.3,5.0,66.3,55.8,98.2,51.7,Accordion,Recyclable
Non Emptying,59.7,33.5,3.0,79.9,46.6,70.6,45.9,Rectangular,Recyclable
Non Emptying,50.5,30.1,2.0,31.9,22.4,31.1,27.2,Diamond,Recyclable
Non Emptying,74.4,63.6,5.0,39.3,21.3,65.9,55.7,Rectangular Farmland,Non Recyclable
Non Emptying,55.4,35.2,3.0,30.0,22.8,64.0,21.4,Lindstrom-b,Mixed
Emptying,63.3,33.4,9.0,77.3,32.8,73.7,36.7,Cubic,Non Recyclable
Non Emptying,73.9,62.9,4.0,30.2,20.1,95.5,66.0,Rectangular Farmland,Recyclable
Non Emptying,30.0,23.3,2.0,58.1,32.5,72.8,66.0,Diamond,Non Recyclable
Emptying,70.6,34.3,9.0,75.9,68.3,88.7,44.2,Lindstrom-b,Mixed
Non Emptying,52.5,30.8,1.0,75.0,32.1,71.7,60.1,Lindstrom City,Recyclable
Emptying,63.1,27.0,6.0,94.2,57.5,79.2,34.8,Lindstrom-a,Non Recyclable
Non Emptying,32.3,25.9,3.0,53.9,32.9,60.7,54.4,Lindstrom-a,Non Recyclable
Non Emptying,78.6,67.2,3.0,82.1,57.0,96.9,61.9,Rectangular Farmland,Recyclable
Emptying,88.6,49.7,6.0,53.4,31.2,72.5,48.6,Silvertop-b,Mixed
Non Emptying,36.0,25.7,2.0,76.5,67.6,85.6,56.7,Malmobehallare,Non Recyclable
Emptying,92.7,66.0,9.0,66.7,58.3,72.4,62.4,Lindstrom City,Mixed
Emptying,82.4,43.4,7.0,68.1,58.0,72.3,49.9,Fiberglass Igloo-a,Mixed
Emptying,80.7,52.0,7.0,94.9,50.5,54.0,31.4,Lindstrom City,Recyclable
Emptying,68.8,38.2,8.0,75.3,63.4,60.6,50.7,Accordion,Mixed
Emptying,78.5,31.0,6.0,71.1,30.1,62.9,51.2,Cubic,Non Recyclable
Non Emptying,66.0,53.8,4.0,60.3,53.8,30.7,26.6,Rectangular,Non Recyclable
Non Emptying,70.6,61.3,2.0,84.9,40.7,70.5,47.5,Lindstrom City,Recyclable
Non Emptying,53.0,33.3,3.0,94.5,53.2,68.6,22.4,Diamond,Mixed
Emptying,92.1,58.9,6.0,58.0,36.8,59.5,38.0,Rectangular,Non Recyclable
Emptying,87.3,44.8,9.0,32.0,22.3,65.9,59.0,Fiberglass Igloo-b,Mixed
Emptying,74.1,32.2,7.0,71.8,61.6,77.7,44.5,Accordion,Non Recyclable
Non Emptying,63.0,56.4,2.0,77.5,30.1,80.0,47.8,Rectangular Farmland,Recyclable
Non Emptying,68.5,54.5,4.0,50.6,31.8,34.7,28.8,Lindstrom City,Non Recyclable
Emptying,89.6,45.8,7.0,32.0,20.3,38.3,26.3,Lindstrom City,Mixed
Non Emptying,38.0,27.6,1.0,78.6,35.7,54.4,36.3,Fiberglass Igloo-a,Non Recyclable
Emptying,90.6,64.9,9.0,33.5,25.6,31.1,24.4,Cubic,Recyclable
Non Emptying,50.8,35.2,2.0,59.1,36.5,80.7,40.3,Fiberglass Igloo-a,Recyclable
Non Emptying,37.5,25.9,5.0,98.7,52.7,76.3,31.3,Silvertop-a,Mixed
Emptying,71.7,49.8,6.0,98.4,61.5,66.9,22.1,Lindstrom-b,Non Recyclable
Emptying,80.7,48.8,6.0,84.0,46.1,31.9,22.1,Lindstrom-a,Non Recyclable
Emptying,86.3,57.8,9.0,50.3,33.7,35.2,23.1,Fiberglass Igloo-a,Mixed
Emptying,91.2,56.8,9.0,83.6,43.2,69.2,51.6,Lindstrom-a,Non Recyclable
Non Emptying,53.2,32.3,2.0,33.4,25.2,34.9,24.2,Accordion,Recyclable
Non Emptying,64.1,57.0,5.0,62.4,54.7,63.7,20.8,Accordion,Non Recyclable
Emptying,95.1,52.7,9.0,63.7,52.9,30.8,20.2,Rectangular,Recyclable
Non Emptying,72.5,66.5,2.0,55.6,38.2,95.2,68.4,Fiberglass Igloo-a,Mixed
Emptying,93.2,67.6,9.0,51.3,30.6,97.1,51.3,Rectangular Farmland,Recyclable
Emptying,62.8,23.6,9.0,87.4,51.8,57.4,35.7,BIM-3 FTI bottentomd,Non Recyclable
Emptying,97.1,57.7,6.0,61.8,54.4,66.7,24.3,Lindstrom-a,Mixed
Non Emptying,79.0,68.4,3.0,92.8,51.1,60.4,53.6,BIM-3 FTI bottentomd,Recyclable
Non Emptying,33.8,24.7,4.0,72.7,65.0,90.1,51.9,Diamond,Mixed
Emptying,71.0,30.0,6.0,54.5,36.4,96.4,69.9,Rectangular Farmland,Mixed
Emptying,79.9,35.8,6.0,80.7,40.4,94.5,60.5,Accordion,Non Recyclable
Non Emptying,61.0,53.3,2.0,60.3,31.9,67.0,36.0,Lindstrom-b,Non Recyclable
Non Emptying,50.9,33.3,1.0,74.0,45.5,71.2,36.5,BIM-3 FTI bottentomd,Recyclable
Emptying,66.6,32.8,6.0,63.3,35.6,74.0,60.2,Cubic,Mixed
Emptying,92.6,62.9,8.0,97.4,68.7,31.4,25.8,Rectangular,Mixed
Non Emptying,32.2,25.5,3.0,31.5,24.7,74.9,46.1,Rectangular Farmland,Mixed
Emptying,84.5,48.3,7.0,60.6,50.6,81.7,53.2,Silvertop-a,Recyclable
Emptying,79.5,33.9,6.0,50.1,36.0,66.4,20.0,Cubic,Non Recyclable
Non Emptying,72.0,63.0,3.0,68.2,52.5,83.5,43.5,Rectangular Farmland,Mixed
Emptying,80.1,51.8,6.0,52.8,34.2,67.9,23.1,Diamond,Recyclable
Emptying,81.8,53.5,8.0,55.7,35.5,70.7,63.4,Lindstrom-a,Non Recyclable
Emptying,84.2,58.8,6.0,80.5,54.4,39.6,26.6,Lindstrom-b,Mixed
Non Emptying,34.8,21.9,4.0,77.5,43.5,70.9,33.6,Fiberglass Igloo-b,Recyclable
Non Emptying,32.2,20.3,4.0,66.2,33.5,72.7,32.8,BIM-3 FTI bottentomd,Non Recyclable
Non Emptying,72.6,61.8,2.0,52.9,35.9,34.4,20.8,Rectangular,Mixed
Non Emptying,65.3,51.6,3.0,34.6,24.2,79.1,41.4,Silvertop-b,Non Recyclable
Emptying,93.4,50.3,6.0,30.3,25.4,52.1,34.9,Rectangular,Non Recyclable
Emptying,97.4,50.6,6.0,80.9,51.9,38.0,25.4,Rectangular Farmland,Mixed
Non Emptying,73.9,64.6,3.0,72.3,33.7,75.3,41.1,Fiberglass Igloo-a,Mixed
Non Emptying,35.5,22.6,2.0,54.2,35.8,66.5,56.7,Fiberglass Igloo-b,Non Recyclable
Emptying,95.0,63.4,6.0,61.2,57.3,38.4,25.7,Lindstrom-b,Mixed
Non Emptying,56.5,35.3,1.0,65.4,20.8,62.3,56.5,Lindstrom-a,Recyclable
Emptying,69.4,35.6,7.0,74.0,34.7,67.7,52.2,Rectangular Farmland,Mixed
Emptying,84.1,58.1,8.0,57.2,38.0,36.7,20.1,Diamond,Recyclable
Non Emptying,68.6,52.1,5.0,34.9,21.9,70.3,39.6,Cubic,Non Recyclable
Emptying,76.2,36.6,7.0,79.6,64.0,53.2,36.4,Lindstrom City,Mixed
Emptying,71.2,47.5,6.0,67.9,29.2,56.5,30.6,BIM-3 FTI bottentomd,Recyclable
Non Emptying,79.8,63.0,3.0,72.7,66.2,85.7,59.3,Fiberglass Igloo-b,Non Recyclable
